Notes offered by Prospectus (https://www.lendingclub.com/info/prospectus.action)
"id","member_id","loan_amnt","funded_amnt","funded_amnt_inv","term","int_rate","installment","grade","sub_grade","emp_title","emp_length","home_ownership","annual_inc","verification_status","issue_d","loan_status","pymnt_plan","url","desc","purpose","title","zip_code","addr_state","dti","delinq_2yrs","earliest_cr_line","inq_last_6mths","mths_since_last_delinq","mths_since_last_record","open_acc","pub_rec","revol_bal","revol_util","total_acc","initial_list_status","out_prncp","out_prncp_inv","total_pymnt","total_pymnt_inv","total_rec_prncp","total_rec_int","total_rec_late_fee","recoveries","collection_recovery_fee","last_pymnt_d","last_pymnt_amnt","next_pymnt_d","last_credit_pull_d","collections_12_mths_ex_med","mths_since_last_major_derog","policy_code","application_type","annual_inc_joint","dti_joint","verification_status_joint","acc_now_delinq","tot_coll_amt","tot_cur_bal","open_acc_6m","open_il_6m","open_il_12m","open_il_24m","mths_since_rcnt_il","total_bal_il","il_util","open_rv_12m","open_rv_24m","max_bal_bc","all_util","total_rev_hi_lim","inq_fi","total_cu_tl","inq_last_12m","acc_open_past_24mths","avg_cur_bal","bc_open_to_buy","bc_util","chargeoff_within_12_mths","delinq_amnt","mo_sin_old_il_acct","mo_sin_old_rev_tl_op","mo_sin_rcnt_rev_tl_op","mo_sin_rcnt_tl","mort_acc","mths_since_recent_bc","mths_since_recent_bc_dlq","mths_since_recent_inq","mths_since_recent_revol_delinq","num_accts_ever_120_pd","num_actv_bc_tl","num_actv_rev_tl","num_bc_sats","num_bc_tl","num_il_tl","num_op_rev_tl","num_rev_accts","num_rev_tl_bal_gt_0","num_sats","num_tl_120dpd_2m","num_tl_30dpd","num_tl_90g_dpd_24m","num_tl_op_past_12m","pct_tl_nvr_dlq","percent_bc_gt_75","pub_rec_bankruptcies","tax_liens","tot_hi_cred_lim","total_bal_ex_mort","total_bc_limit","total_il_high_credit_limit","revol_bal_joint","sec_app_earliest_cr_line","sec_app_inq_last_6mths","sec_app_mort_acc","sec_app_open_acc","sec_app_revol_util","sec_app_open_il_6m","sec_app_num_rev_accts","sec_app_chargeoff_within_12_mths","sec_app_collections_12_mths_ex_med","sec_app_mths_since_last_major_derog","hardship_flag","hardship_type","hardship_reason","hardship_status","deferral_term","hardship_amount","hardship_start_date","hardship_end_date","payment_plan_start_date","hardship_length","hardship_dpd","hardship_loan_status","orig_projected_additional_accrued_interest","hardship_payoff_balance_amount","hardship_last_payment_amount"
"","","10000","10000","10000"," 36 months"," 12.74%","335.69","C","C1","Product Specialist ","10+ years","OWN","40000","Not Verified","Mar-2017","Current","n","","","debt_consolidation","Debt consolidation","324xx","FL","8.85","0","Mar-1997","0","","","7","0","9227","55.9%","15","f","8828.76","8828.76","1664.29","1664.29","1171.24","493.05","0.0","0.0","0.0","Sep-2017","335.69","Oct-2017","Sep-2017","0","","1","INDIVIDUAL","","","","0","0","9227","0","0","0","0","139","0","","1","3","5454","56","16500","0","0","1","3","1318","1691","79.4","0","0","234","240","8","8","2","31","","8","","0","2","4","2","3","2","7","11","4","7","0","0","0","1","100","50","0","0","16500","9227","8200","0","","","","","","","","","","","","N","","","","","","","","","","","","","",""
"","","7100","7100","7100"," 36 months"," 11.39%","233.76","B","B3","","n/a","RENT","32160","Not Verified","Mar-2017","Current","n","","","debt_consolidation","Debt consolidation","329xx","FL","22.44","0","Apr-1973","0","","","9","0","13224","41.7%","15","w","6252.21","6252.21","1159.81","1159.81","847.79","312.02","0.0","0.0","0.0","Sep-2017","233.76","Oct-2017","Sep-2017","0","","1","INDIVIDUAL","","","","0","1096","20805","0","1","0","1","21","3535","50","0","2","9739","46","31700","0","0","0","3","2312","2661","78.5","0","0","97","521","13","13","0","162","","13","","0","1","5","1","4","2","7","12","5","8","0","0","0","0","100","100","0","0","45619","20805","12400","7100","","","","","","","","","","","","N","","","","","","","","","","","","","",""
"","","14000","14000","14000"," 36 months","  8.24%","440.27","B","B1","Retail Sales Consultant ","6 years","MORTGAGE","65000","Not Verified","Mar-2017","Current","n","","","home_improvement","Home improvement","329xx","FL","10.8","0","May-1999","0","","","5","0","1344","20.7%","8","w","12255.52","12255.52","2188.53","2188.53","1744.48","444.05","0.0","0.0","0.0","Sep-2017","440.27","Oct-2017","Aug-2017","0","","1","INDIVIDUAL","","","","0","0","169788","1","1","0","0","33","18203","61","1","1","278","51","6500","0","1","0","1","33958","722","27.8","0","0","121","57","0","0","1","57","","","","0","1","2","1","1","4","2","2","2","5","0","0","0","1","100","0","0","0","197948","20875","1000","29807","","","","","","","","","","","","N","","","","","","","","","","","","","",""
"","","4800","4800","4800"," 36 months","  6.99%","148.19","A","A2","Program Manager","1 year","RENT","160000","Not Verified","Mar-2017","Current","n","","","credit_card","Credit card refinancing","941xx","CA","12.66","0","Jun-2005","1","38","","13","0","16930","13.4%","18","w","4191.81","4191.81","737.22","737.22","608.19","129.03","0.0","0.0","0.0","Sep-2017","148.19","Oct-2017","Sep-2017","0","","1","INDIVIDUAL","","","","0","0","37985","2","2","0","2","13","21055","60","2","6","9906","24","125900","1","0","1","8","2922","106107","10.5","0","0","74","141","3","3","0","6","","3","38","0","6","8","9","12","4","11","14","8","13","0","0","0","2","94.4","0","0","0","160900","37985","118600","35000","","","","","","","","","","","","N","","","","","","","","","","","","","",""
"","","7200","7200","7200"," 36 months"," 11.39%","237.06","B","B3","manager","3 years","RENT","60000","Not Verified","Mar-2017","Current","n","","","debt_consolidation","Debt consolidation","902xx","CA","11.63","1","Oct-1996","0","5","","8","0","6424","79.3%","20","w","6340.23","6340.23","1176.19","1176.19","859.77","316.42","0.0","0.0","0.0","Sep-2017","237.06","Oct-2017","Sep-2017","0","59","1","INDIVIDUAL","","","","0","0","35785","0","4","0","2","16","29361","99","0","1","2336","95","8100","0","0","0","3","4473","350","94.3","0","0","245","70","23","16","0","52","","","","1","3","4","3","3","11","4","8","4","8","0","0","0","0","90","100","0","0","37811","35785","6100","29711","","","","","","","","","","","","N","","","","","","","","","","","","","",""
"","","16000","16000","16000"," 36 months"," 18.99%","586.42","D","D3","sales merchandiser","10+ years","RENT","41000","Source Verified","Mar-2017","Current","n","","","debt_consolidation","Debt consolidation","773xx","TX","31.73","1","Sep-2004","0","19","","9","0","19706","70.4%","13","w","14280.33","14280.33","2898.34","2898.34","1719.67","1178.67","0.0","0.0","0.0","Sep-2017","586.42","Oct-2017","Sep-2017","0","","1","INDIVIDUAL","","","","0","73","34377","1","2","1","1","6","14671","57","0","0","7433","64","28000","0","1","0","1","3820","3509","80.5","0","0","123","150","34","6","0","46","","","19","0","5","7","5","6","5","7","8","7","9","0","0","0","1","92.3","40","0","0","53682","34377","18000","25682","","","","","","","","","","","","N","","","","","","","","","","","","","",""
"","","8400","8400","8400"," 36 months"," 11.39%","276.56","B","B3","IT Tech","8 years","MORTGAGE","50000","Source Verified","Mar-2017","Current","n","","","other","Other","454xx","OH","15.63","0","Apr-2005","0","","","14","0","12831","30.3%","30","w","7396.99","7396.99","1372.17","1372.17","1003.01","369.16","0.0","0.0","0.0","Sep-2017","276.56","Oct-2017","Sep-2017","0","","1","INDIVIDUAL","","","","0","271","161061","3","2","1","2","10","38760","105","4","8","5338","65","42300","4","1","7","10","12389","24145","33.1","0","0","131","143","4","4","4","4","","10","","0","4","5","7","11","9","11","16","5","14","0","0","0","5","100","14.3","0","0","205671","51591","36100","36876","","","","","","","","","","","","N","","","","","","","","","","","","","",""
"","","14400","14400","14400"," 36 months"," 12.74%","483.4","C","C1","","n/a","MORTGAGE","61000","Verified","Mar-2017","Current","n","","","credit_card","Credit card refinancing","864xx","AZ","14.24","0","Dec-1989","0","41","","10","0","15377","62%","15","w","12711.93","12711.93","2421.52","2421.52","1688.07","733.45","0.0","0.0","0.0","Sep-2017","483.4","Oct-2017","Sep-2017","0","41","1","INDIVIDUAL","","","","0","0","137118","1","1","1","1","11","9471","85","2","3","6352","69","24800","0","1","4","5","13712","1648","90.3","0","0","127","327","6","6","1","6","","11","41","1","7","8","7","10","2","8","12","8","10","0","0","0","4","86.7","71.4","0","0","152644","24848","17000","11119","","","","","","","","","","","","N","","","","","","","","","","","","","",""
"","","5000","5000","5000"," 36 months"," 14.99%","173.31","C","C4","Lead Supervisor","10+ years","RENT","68000","Not Verified","Mar-2017","Fully Paid","n","","","debt_consolidation","Debt consolidation","945xx","CA","22.5","0","Apr-2003","0","27","","6","0","10276","90.1%","18","f","0.00","0.00","5168.9063771346","5168.91","5000.00","168.91","0.0","0.0","0.0","Jun-2017","5003.93","","Sep-2017","0","","1","INDIVIDUAL","","","","0","531","36168","0","2","0","2","18","25892","64","0","0","4261","69","11400","1","1","0","2","6028","1124","90.1","0","0","167","111","46","18","0","46","","18","","0","4","4","4","6","8","4","9","4","6","0","0","0","0","94.4","75","0","0","52113","36168","11400","40713","","","","","","","","","","","","N","","","","","","","","","","","","","",""
"","","18000","18000","18000"," 36 months","  5.32%","542.07","A","A1","Director","10+ years","MORTGAGE","205000","Source Verified","Mar-2017","Current","n","","","debt_consolidation","Debt consolidation","088xx","NJ","22.72","0","Aug-1993","0","","","23","0","36543","39%","27","f","15668.06","15668.06","2699.71","2699.71","2331.94","367.77","0.0","0.0","0.0","Sep-2017","542.07","Oct-2017","Sep-2017","0","","1","INDIVIDUAL","","","","0","0","343968","1","6","2","3","3","92995","65","1","1","10335","53","93800","0","2","0","4","15635","34087","50.5","0","0","171","283","10","3","1","10","","","","0","7","12","7","8","8","15","17","12","23","0","0","0","3","100","28.6","0","0","490893","135895","68900","155593","","","","","","","","","","","","N","","","","","","","","","","","","","",""
"","","10150","10150","10150"," 36 months","  7.24%","314.52","A","A3","Compliance Manager","8 years","MORTGAGE","50000","Not Verified","Mar-2017","Current","n","","","debt_consolidation","Debt consolidation","773xx","TX","29.6","0","Jun-2002","1","","","9","0","21845","56%","21","w","8868.22","8868.22","1564.43","1564.43","1281.78","282.65","0.0","0.0","0.0","Sep-2017","314.52","Oct-2017","Sep-2017","0","","1","INDIVIDUAL","","","","0","0","239260","1","3","1","1","4","23502","43","0","0","11270","49","39000","1","1","2","2","29908","13951","58.2","0","0","123","177","48","4","3","48","","5","","0","3","4","3","5","8","5","10","4","9","0","0","0","2","100","33.3","0","0","289751","45347","33400","54374","","","","","","","","","","","","N","","","","","","","","","","","","","",""
"","","20000","20000","20000"," 36 months"," 10.49%","649.96","B","B2","driver","10+ years","RENT","95000","Not Verified","Mar-2017","Current","n","","","other","Other","070xx","NJ","31.22","0","Apr-1987","1","","","17","0","12182","37.4%","27","w","17582.47","17582.47","3226.49","3226.49","2417.53","808.96","0.0","0.0","0.0","Sep-2017","649.96","Oct-2017","Sep-2017","0","","1","INDIVIDUAL","","","","0","0","53238","0","5","1","3","11","41056","52","0","1","5544","47","32600","1","3","1","4","3327","18660","34.8","0","0","114","125","17","11","0","17","","0","","0","6","7","7","10","10","11","16","7","17","0","0","0","1","100","0","0","0","112739","53238","28600","78672","","","","","","","","","","","","N","","","","","","","","","","","","","",""
"","","3600","3600","3600"," 36 months","  7.49%","111.97","A","A4","Code/Compliance Inspector","10+ years","MORTGAGE","120000","Not Verified","Mar-2017","Current","n","","","other","Other","467xx","IN","18.9","0","Aug-1992","1","","96","18","1","5658","14.9%","33","w","3146.88","3146.88","556.85","556.85","453.12","103.73","0.0","0.0","0.0","Sep-2017","111.97","Oct-2017","Sep-2017","0","","1","INDIVIDUAL","","","","0","0","36506","2","6","2","6","2","30848","55","4","7","1020","39","37900","3","1","4","13","2147","7980","11.3","0","0","166","295","3","2","0","9","","2","","0","1","4","2","3","17","12","16","4","18","0","0","0","6","100","0","1","0","93599","36506","9000","55699","","","","","","","","","","","","N","","","","","","","","","","","","","",""
"","","16000","16000","16000"," 60 months"," 12.74%","361.93","C","C1","","10+ years","MORTGAGE","72000","Not Verified","Mar-2017","Current","n","","","major_purchase","Major purchase","207xx","MD","29.66","0","Dec-1998","0","","","18","0","44363","77.6%","25","w","15019.07","15019.07","1787.0","1787.00","980.93","806.07","0.0","0.0","0.0","Sep-2017","361.93","Oct-2017","Sep-2017","0","","1","INDIVIDUAL","","","","0","0","235542","0","3","1","2","11","49184","99","0","0","9429","88","57200","0","0","2","2","13855","9837","81.9","0","0","139","219","33","11","2","60","","8","","0","11","11","12","13","7","14","16","11","18","0","0","0","1","100","66.7","0","0","296264","93547","54200","49562","","","","","","","","","","","","N","","","","","","","","","","","","","",""
"","","12000","12000","12000"," 36 months","  7.99%","375.99","A","A5","registerd nurse","9 years","MORTGAGE","100000","Verified","Mar-2017","Current","n","","","debt_consolidation","Debt consolidation","917xx","CA","28.82","0","Apr-2003","1","","","14","0","25423","52.1%","65","w","10499.70","10499.70","1869.3","1869.30","1500.30","369.00","0.0","0.0","0.0","Sep-2017","375.99","Oct-2017","Sep-2017","0","","1","INDIVIDUAL","","","","0","9550","555654","2","5","4","5","6","129297","77","6","8","5827","65","48800","5","0","5","15","42743","22577","53","0","0","113","167","8","6","6","8","","6","","0","6","6","7","24","15","8","43","6","14","0","0","0","11","100","33.3","0","0","601250","154720","48000","148041","","","","","","","","","","","","N","","","","","","","","","","","","","",""
"","","9000","9000","9000"," 36 months"," 10.49%","292.48","B","B2","Director of Sales","3 years","RENT","172000","Not Verified","Mar-2017","Current","n","","","debt_consolidation","Debt consolidation","101xx","NY","21.71","0","Sep-1994","1","73","","15","0","16560","64.2%","30","w","7912.12","7912.12","1451.91","1451.91","1087.88","364.03","0.0","0.0","0.0","Sep-2017","292.48","Oct-2017","Sep-2017","0","","1","INDIVIDUAL","","","","0","0","94190","1","4","0","3","18","37956","59","1","1","5940","61","25800","0","0","1","4","6728","5109","73.3","0","0","270","173","4","4","0","76","","4","","0","4","7","5","6","16","10","13","7","15","0","0","0","1","96.7","80","0","0","129752","94190","19100","64278","","","","","","","","","","","","N","","","","","","","","","","","","","",""
"","","10000","10000","10000"," 36 months","  7.99%","313.32","A","A5","Pipelayer ","1 year","RENT","69000","Not Verified","Mar-2017","Current","n","","","debt_consolidation","Debt consolidation","433xx","OH","27.69","0","Jan-2004","1","","117","9","1","9625","52.9%","14","f","8749.78","8749.78","1557.72","1557.72","1250.22","307.50","0.0","0.0","0.0","Sep-2017","313.32","Oct-2017","Sep-2017","0","","1","INDIVIDUAL","","","","0","777","61585","1","4","1","3","11","51960","70","1","2","3876","64","18200","2","1","2","5","6843","7419","47.8","0","0","158","100","6","6","0","51","","6","","0","3","4","3","3","8","5","6","4","9","0","0","0","2","100","33.3","1","0","89165","61585","14200","70965","","","","","","","","","","","","N","","","","","","","","","","","","","",""
"","","13000","13000","13000"," 36 months","  6.99%","401.35","A","A2","Mold Maker","10+ years","MORTGAGE","120000","Source Verified","Mar-2017","Current","n","","","debt_consolidation","Debt consolidation","600xx","IL","8.3","0","Dec-1997","0","42","","11","0","15591","52.5%","21","f","11352.80","11352.80","1996.65","1996.65","1647.20","349.45","0.0","0.0","0.0","Sep-2017","401.35","Oct-2017","Sep-2017","0","69","1","INDIVIDUAL","","","","0","0","67371","1","1","0","0","28","2574","22","1","3","6942","44","29700","0","0","0","3","6737","3657","73.7","0","0","168","231","6","6","3","16","42","13","42","2","3","7","3","4","3","9","15","7","11","0","0","0","1","76.2","33.3","0","0","239301","18165","13900","12000","","","","","","","","","","","","N","","","","","","","","","","","","","",""
"","","4700","4700","4700"," 36 months"," 15.99%","165.22","C","C5","RN Manager","10+ years","MORTGAGE","100046","Source Verified","Mar-2017","Current","n","","","debt_consolidation","Debt consolidation","847xx","UT","12.37","1","Oct-2001","0","16","38","6","2","3919","95.6%","14","w","4173.18","4173.18","817.75","817.75","526.82","290.93","0.0","0.0","0.0","Sep-2017","165.22","Oct-2017","Sep-2017","0","16","1","INDIVIDUAL","","","","0","197","335994","0","3","0","0","44","45195","77","1","1","3434","78","4100","0","0","1","1","55999","66","98.1","0","0","185","149","8","8","2","8","","8","","1","1","2","1","1","8","2","4","2","6","0","0","1","1","64.3","100","0","0","353570","49114","3500","58668","","","","","","","","","","","","N","","","","","","","","","","","","","",""
"","","6000","6000","6000"," 36 months","  8.24%","188.69","B","B1","Lead designer","1 year","MORTGAGE","110000","Not Verified","Mar-2017","Current","n","","","credit_card","Credit card refinancing","950xx","CA","7.15","0","Sep-1999","0","80","64","7","2","5076","35.3%","17","w","5252.35","5252.35","937.96","937.96","747.65","190.31","0.0","0.0","0.0","Sep-2017","188.69","Oct-2017","Aug-2017","0","80","1","INDIVIDUAL","","","","0","0","29997","0","1","0","1","18","24921","81","3","3","3910","67","14400","0","0","0","4","5999","490","88.9","0","0","103","210","9","9","1","27","","18","","1","1","3","1","2","3","6","12","3","7","0","0","0","3","92.9","100","2","0","45116","29997","4400","30716","","","","","","","","","","","","N","","","","","","","","","","","","","",""
"","","35000","35000","35000"," 36 months"," 19.99%","1300.55","D","D4","PROFESSOR","10+ years","MORTGAGE","80000","Source Verified","Mar-2017","Current","n","","","debt_consolidation","Debt consolidation","850xx","AZ","10.65","1","May-1994","0","4","","7","0","13483","65.5%","22","f","31290.93","31290.93","6425.01","6425.01","3709.07","2715.94","0.0","0.0","0.0","Sep-2017","1300.55","Oct-2017","Sep-2017","0","48","1","INDIVIDUAL","","","","0","320","281434","0","1","1","1","12","19268","84","0","1","6765","75","20600","0","0","1","2","46906","6717","66.7","0","0","140","274","16","12","1","16","48","12","48","0","2","2","4","13","4","5","17","2","7","0","0","0","1","90.9","33.3","0","0","303643","32751","20200","23043","","","","","","","","","","","","N","","","","","","","","","","","","","",""
